Nick                          S34     S33     S32     S31     S30     S29     S28     S27     S26     S25     S24     S23     S22     S21     S20     S19     S18     S17     S16     S15     S14     S13     S12     S11     S10      S9      S8      S7      S6      S5      S4      S3      S2      S1
Rod                        2874.3  2874.3  2874.3  2874.3  2874.3  2874.3  2874.3  2874.4  2874.4  2874.4  2874.4  2874.4  2874.4  2874.4  2874.4  2874.5  2874.5  2874.5  2874.5  2874.4  2874.4  2874.4  2874.4  2874.4  2874.4  2874.4  2874.3  2874.3  2874.3  2874.3  2874.3  2874.3  2874.3  2874.3
wurf3                      2872.3  2872.3  2872.3  2872.3  2872.3  2872.3  2872.3  2872.3  2855.9  2855.9  2855.9  2855.9  2855.9  2855.9  2855.9  2855.9  2855.9  2855.9  2855.9  2855.9  2855.9  2856.0  2856.0  2856.0  2855.9  2855.9  2855.9  2855.9  2855.9  2855.9  2855.9  2855.9  2855.9  2855.9
Higaki                     2863.7  2899.4  2972.6  2964.3  2896.7  2865.8  2864.7  2863.5  2862.4  2861.3  2860.2  2859.0  2857.9  2856.8  2855.6  2854.5  2853.4  2852.3  2851.1  2850.0  2848.9  2847.8  2863.1  2898.1  2956.3  3019.6  3040.9  3020.4  2985.6  2950.4  2950.4  2950.4  2950.4  2950.4
azazil                     2859.4  2859.4  2859.3  2859.3  2859.3  2859.3  2859.3  2859.3  2859.3  2859.3  2859.2  2859.2  2859.2  2859.2  2848.8  2822.1  2822.1  2822.1  2822.1  2822.1  2822.1  2822.1  2822.1  2822.1  2822.2  2822.2  2822.2  2822.2  2822.2  2822.2  2822.2  2822.2  2822.3  2822.3
Mogget                     2847.6  2847.6  2847.6  2847.6  2847.6  2847.6  2847.6  2847.6  2847.6  2847.6  2847.6  2847.7  2847.7  2847.7  2847.7  2847.7  2847.7  2847.7  2847.7  2847.7  2847.7  2847.7  2847.7  2847.7  2847.7  2847.6  2847.6  2847.6  2847.6  2847.6  2847.6  2894.3  2941.0  2922.2
Pingu25                    2840.6  2829.5  2833.4  2830.4  2736.7  2736.7  2736.7  2736.7  2736.8  2736.8  2736.8  2736.8  2736.8  2736.8  2736.8  2736.8  2736.8  2736.8  2736.8  2736.8  2736.8  2736.8  2736.8  2736.8  2736.8  2736.8  2736.8  2736.7  2736.7  2736.7  2736.7  2736.7  2736.7  2736.7
Mbrez                      2814.3  2814.3  2836.5  2852.7  2873.5  2864.8  2901.9  2915.0  2862.4  2888.7  2858.6  2831.6  2809.1  2835.9  2799.9  2763.9  2781.3  2781.3  2781.3  2781.3  2781.3  2781.3  2781.3  2781.3  2781.3  2781.3  2781.3  2781.3  2781.3  2781.3  2781.3  2781.3  2781.3  2781.3
janek                      2812.7  2812.7  2812.7  2812.7  2812.7  2812.7  2812.7  2812.7  2812.7  2812.7  2812.7  2812.7  2812.7  2812.7  2812.7  2812.7  2812.7  2812.7  2812.7  2812.7  2812.7  2812.7  2812.7  2812.7  2812.7  2812.7  2812.7  2895.1  2895.7  2873.7  2873.7  2873.7  2873.7  2873.7
GetStrong                  2794.2  2794.2  2794.2  2794.2  2794.2  2794.2  2794.2  2794.2  2794.2  2794.3  2794.3  2794.3  2794.3  2794.3  2794.3  2794.3  2794.3  2794.3  2794.3  2794.3  2794.3  2794.3  2794.3  2794.3  2794.3  2794.3  2794.3  2794.2  2794.2  2794.2  2794.2  2794.2  2794.2  2794.2
bchetioui                  2787.7  2803.3  2808.8  2749.2  2749.2  2749.2  2749.2  2749.3  2749.3  2749.3  2749.3  2749.3  2749.3  2749.3  2749.3  2749.3  2749.3  2749.3  2749.3  2749.3  2749.3  2749.3  2749.3  2749.3  2749.3  2749.3  2749.3  2749.3  2749.2  2749.2  2749.2  2749.2  2749.2  2749.2
tasuki                     2782.0  2782.0  2782.0  2782.0  2782.0  2782.0  2782.0  2782.0  2841.5  2887.3  2902.4  2943.3  2956.8  2947.7  2966.3  2956.6  2946.9  2937.2  2927.5  2917.8  2908.1  2898.3  2888.6  2878.9  2869.2  2859.5  2849.8  2975.9  3043.1  3061.7  3021.0  2991.7  3000.2  3002.2
silkroad                   2773.7  2712.4  2638.7  2636.6  2682.1  2709.4  2729.3  2683.3  2611.5  2606.8  2565.3  2565.3  2565.3  2565.3  2565.3  2565.3  2565.3  2565.3  2565.3  2565.3  2565.3  2565.3  2565.3  2565.3  2565.3  2565.3  2565.3  2565.3  2565.3  2565.3  2565.3  2565.3  2565.3  2565.3
maciekO                    2759.1  2759.1  2759.1  2759.1  2759.1  2759.1  2759.1  2759.1  2759.1  2759.1  2759.1  2759.1  2759.1  2759.1  2759.1  2759.1  2759.1  2759.1  2759.1  2759.1  2759.1  2759.1  2759.1  2759.1  2759.1  2759.1  2759.1  2759.1  2759.1  2759.1  2759.1  2759.1  2759.1  2759.1
bartosz                    2754.4  2754.4  2754.4  2754.4  2754.4  2754.4  2754.4  2754.4  2754.4  2754.4  2754.4  2754.4  2754.4  2754.4  2761.5  2781.0  2771.5  2741.9  2688.2  2721.3  2719.9  2662.8  2632.1  2631.7  2606.9  2568.9  2552.6  2534.1  2534.1  2534.1  2534.1  2534.1  2534.1  2534.1
Paulolops                  2744.6  2760.2  2766.0  2820.0  2831.0  2818.8  2795.5  2772.2  2706.8  2701.1  2650.5  2572.9  2578.1  2578.1  2578.1  2578.1  2578.1  2578.1  2578.1  2578.1  2578.1  2578.1  2578.1  2578.2  2578.2  2578.2  2578.2  2578.2  2578.2  2578.2  2578.2  2578.2  2578.2  2578.2
Dokuganryu                 2717.1  2717.1  2717.1  2717.1  2717.1  2717.0  2717.0  2717.0  2717.0  2717.0  2717.0  2717.0  2747.3  2715.6  2662.7  2586.7  2501.0  2410.0  2398.4  2382.2  2351.4  2351.4  2351.4  2351.4  2351.5  2351.5  2351.5  2351.5  2351.5  2351.5  2351.6  2351.6  2351.6  2351.6
liquescens                 2697.6  2697.6  2697.6  2697.6  2697.6  2697.6  2697.5  2697.5  2697.5  2697.5  2697.5  2697.5  2697.5  2733.3  2664.5  2644.6  2588.3  2519.3  2570.8  2589.3  2585.8  2585.8  2585.8  2585.8  2585.8  2585.8  2585.9  2585.9  2585.9  2585.9  2585.9  2585.9  2585.9  2585.9
Moggget                    2686.4  2686.4  2686.4  2686.4  2686.4  2686.5  2686.5  2686.5  2686.5  2686.5  2686.5  2686.5  2686.5  2686.5  2686.6  2686.6  2686.6  2686.6  2686.6  2686.6  2686.6  2686.6  2686.5  2686.5  2686.5  2686.5  2686.5  2686.5  2686.5  2686.5  2686.5  2686.5  2686.5  2686.5
Gelya                      2674.9  2689.1  2682.8  2676.4  2670.1  2663.8  2657.4  2651.1  2644.7  2638.4  2632.1  2625.7  2619.4  2613.0  2606.7  2600.4  2594.0  2594.0  2594.0  2594.0  2594.0  2594.0  2594.0  2594.0  2594.0  2594.0  2594.0  2594.0  2594.0  2594.0  2594.1  2594.1  2594.1  2594.1
Kangur                     2672.5  2672.5  2672.5  2672.5  2672.5  2672.5  2672.5  2672.5  2672.5  2672.5  2672.5  2672.5  2672.5  2672.5  2672.5  2672.5  2672.5  2672.5  2672.5  2672.5  2672.5  2672.5  2672.5  2672.5  2672.5  2672.5  2672.5  2691.8  2711.1  2730.4  2749.7  2769.0  2788.3  2807.7
ashitaka                   2670.6  2596.4  2555.6  2544.1  2531.5  2552.7  2565.9  2610.5  2665.9  2640.0  2649.2  2658.3  2676.2  2721.6  2750.4  2777.8  2773.0  2794.3  2750.8  2755.2  2758.0  2740.9  2686.4  2679.4  2669.0  2665.9  2693.2  2659.5  2677.3  2694.7  2674.0  2689.0  2592.9  2631.9
ramborocky                 2668.5  2668.5  2668.5  2668.5  2668.5  2668.5  2668.5  2668.5  2668.5  2668.5  2668.5  2668.5  2668.5  2668.5  2668.5  2668.5  2668.5  2636.8  2603.8  2570.7  2546.6  2522.4  2524.0  2547.1  2547.1  2547.1  2547.1  2547.1  2547.1  2547.1  2547.1  2547.1  2547.1  2547.1
Danyl                      2638.9  2663.2  2647.8  2621.3  2596.3  2571.2  2546.2  2521.1  2496.1  2471.0  2446.0  2421.0  2447.6  2447.6  2447.6  2447.6  2447.6  2447.6  2447.6  2447.6  2447.6  2447.6  2447.6  2447.6  2447.6  2447.6  2447.6  2447.6  2447.7  2447.7  2447.7  2447.7  2447.7  2447.7
krios                      2629.8  2629.7  2629.7  2629.7  2629.7  2629.7  2629.7  2629.7  2629.7  2629.7  2629.7  2629.7  2629.7  2629.7  2629.7  2629.7  2629.6  2629.6  2629.6  2629.6  2629.7  2629.7  2629.7  2629.7  2629.7  2629.7  2629.7  2629.7  2629.7  2629.7  2629.7  2629.7  2629.7  2629.7
